iter	Passed	Remaining
402	11302	16743
403	11327	16711
404	11353	16679
405	11377	16646
406	11403	16615
407	11428	16582
408	11458	16556
409	11484	16527
410	11510	16495
411	11536	16465
412	11561	16432
413	11589	16404
414	11613	16371
415	11638	16339
416	11663	16306
417	11690	16276
418	11717	16247
419	11743	16217
420	11769	16186
421	11794	16154
422	11819	16122
423	11846	16093
424	11873	16063
425	11900	16034
426	11926	16004
427	11951	15972
428	11975	15940
429	12002	15909
430	12027	15878
431	12052	15847
432	12080	15819
433	12107	15790
434	12134	15760
435	12160	15730
436	12189	15703
437	12214	15672
438	12238	15639
439	12266	15612
440	12292	15581
441	12320	15554
442	12347	15524
443	12373	15494
444	12398	15462
445	12423	15432
446	12448	15400
447	12476	15372
448	12501	15341
449	12526	15310
450	12557	15285
451	12583	15255
452	12608	15224
453	12636	15197
454	12672	15179
455	12712	15165
456	12740	15137
457	12773	15116
458	12802	15090
459	12828	15059
460	12859	15035
461	12896	15018
462	12925	14990
463	12954	14964
464	12981	14935
465	13036	14938
466	13117	14971
467	13171	14973
468	13201	14946
469	13234	14923
470	13263	14896
471	13296	14874
472	13323	14844
473	13353	14818
474	13383	14792
475	13413	14766
476	13441	14737
477	13467	14706
478	13496	14680
479	13526	14654
480	13553	14623
481	13581	14596
482	13609	14567
483	13635	14537
484	13664	14509
485	13697	14487
486	13727	14460
487	13755	14432
488	13784	14404
489	13814	14378
490	13844	14352
491	13872	14323
492	13899	14294
493	13928	14267
494	13962	14244
495	13991	14216
496	14018	14188
497	14044	14157
498	14072	14129
499	14100	14100
500	14128	14072
501	14159	14047
502	14196	14027
503	14223	13997
504	14253	13971
505	14282	13943
506	14312	13916
507	14340	13888
508	14368	13859
509	14400	13835
510	14430	13809
511	14457	13779
512	14485	13750
513	14511	13721
514	14537	13690
515	14574	13670
516	14606	13646
517	14636	13619
518	14665	13591
519	14695	13564
520	14722	13535
521	14750	13506
522	14779	13479
523	14807	13450
524	14836	13423
525	14870	13400
526	14898	13372
527	14926	13343
528	14952	13313
529	14983	13287
530	15011	13258
531	15039	13230
532	15067	13202
533	15095	13173
534	15127	13148
535	15154	13118
536	15183	13091
537	15211	13062
538	15242	13036
539	15270	13007
540	15296	12977
541	15322	12947
542	15350	12918
543	15375	12888
544	15403	12859
545	15429	12829
546	15457	12801
547	15484	12771
548	15516	12747
549	15547	12720
550	15580	12696
551	15613	12671
552	15645	12646
553	15675	12619
554	15702	12590
555	15729	12560
556	15755	12531
557	15781	12500
558	15808	12471
559	15834	12441
560	15865	12415
561	15893	12386
562	15919	12356
563	15945	12326
564	15971	12296
565	15996	12266
566	16024	12237
567	16050	12207
568	16076	12177
569	16112	12154
570	16136	12123
571	16162	12093
572	16189	12064
573	16214	12033
574	16242	12005
575	16267	11974
576	16293	11945
577	16323	11917
578	16349	11888
579	16377	11859
580	16404	11830
581	16429	11799
582	16458	11772
583	16484	11742
584	16509	11711
585	16536	11682
586	16560	11651
587	16588	11623
588	16613	11592
589	16640	11563
590	16665	11533
591	16690	11502
592	16715	11472
593	16742	11443
594	16770	11415
595	16795	11384
596	16820	11354
597	16846	11324
598	16871	11294
599	16899	11266
600	16923	11235
601	16950	11206
602	16979	11178
603	17004	11148
604	17033	11121
605	17058	11090
606	17083	11060
607	17108	11030
608	17133	11000
609	17168	10976
610	17197	10948
611	17222	10919
612	17247	10888
613	17276	10861
614	17302	10831
615	17330	10803
616	17355	10773
617	17380	10743
618	17512	10778
619	17566	10766
620	17619	10753
621	17644	10722
622	17670	10693
623	17699	10664
624	17724	10634
625	17750	10604
626	17789	10582
627	17816	10553
628	17846	10526
629	17871	10496
630	17898	10466
631	17927	10438
632	17953	10409
633	17982	10381
634	18009	10351
635	18036	10323
636	18064	10294
637	18090	10264
638	18116	10234
639	18143	10205
640	18168	10175
641	18194	10146
642	18220	10116
643	18249	10088
644	18277	10059
645	18302	10029
646	18327	9999
647	18352	9969
648	18380	9940
649	18408	9912
650	18437	9884
651	18463	9854
652	18490	9825
653	18515	9795
654	18541	9766
655	18568	9737
656	18593	9707
657	18621	9678
658	18647	9649
659	18675	9620
660	18703	9592
661	18728	9562
662	18754	9532
663	18782	9504
664	18806	9474
665	18835	9446
666	18860	9416
667	18890	9388
668	18918	9360
669	18945	9331
670	18969	9301
671	18998	9273
672	19023	9243
673	19048	9213
674	19074	9183
675	19099	9154
676	19128	9126
677	19154	9096
678	19180	9067
679	19205	9037
680	19230	9008
681	19255	8978
682	19282	8949
683	19309	8920
684	19337	8892
685	19362	8862
686	19390	8834
687	19416	8805
688	19445	8777
689	19470	8747
690	19495	8717
691	19522	8689
692	19548	8660
693	19575	8631
694	19604	8603
695	19629	8573
696	19656	8544
697	19681	8515
698	19707	8486
699	19735	8458
700	19763	8429
701	19789	8400
702	19814	8371
703	19839	8341
704	19865	8312
705	19893	8284
706	19920	8255
707	19945	8226
708	19974	8198
709	20000	8169
710	20024	8139
711	20052	8111
712	20078	8082
713	20103	8052
714	20129	8023
715	20154	7994
716	20184	7966
717	20209	7937
718	20233	7907
719	20258	7878
720	20282	7848
721	20309	7820
722	20335	7790
723	20362	7762
724	20389	7733
725	20416	7705
726	20442	7676
727	20467	7647
728	20494	7618
729	20519	7589
730	20544	7560
731	20572	7531
732	20597	7502
733	20626	7474
734	20651	7445
735	20677	7417
736	20706	7389
737	20737	7362
738	20768	7335
739	20797	7307
740	20823	7278
741	20848	7249
742	20873	7220
743	20904	7192
744	20932	7164
745	20957	7135
746	20984	7107
747	21010	7078
748	21041	7051
749	21068	7022
750	21096	6994
751	21122	6966
752	21149	6937
753	21177	6909
754	21204	6880
755	21233	6853
756	21261	6825
757	21287	6796
758	21316	6768
759	21344	6740
760	21368	6711
761	21396	6683
762	21422	6654
763	21452	6626
764	21482	6599
765	21509	6570
766	21536	6542
767	21562	6513
768	21589	6485
769	21614	6456
770	21644	6428
771	21670	6400
772	21697	6371
773	21727	6344
774	21757	6316
775	21784	6288
776	21811	6260
777	21839	6231
778	21865	6203
779	21894	6175
780	21925	6148
781	21953	6120
782	21983	6092
783	22009	6063
784	22036	6035
785	22062	6006
786	22090	5978
787	22120	5951
788	22147	5922
789	22173	5894
790	22201	5866
791	22228	5837
792	22254	5809
793	22283	5781
794	22310	5753
795	22338	5724
796	22367	5697
797	22395	5668
798	22422	5640
799	22449	5612
800	22484	5585
801	22513	5558
802	22541	5530
803	22572	5502
804	22596	5473
805	22624	5445
806	22649	5416
807	22676	5388
808	22701	5359
809	22728	5331
810	22754	5302
811	22782	5274
812	22809	5246
813	22836	5218
814	22861	5189
815	22888	5161
816	22915	5132
817	22940	5104
818	22965	5075
819	22992	5047
820	23020	5019
821	23044	4990
822	23072	4962
823	23096	4933
824	23122	4904
825	23148	4876
826	23173	4847
827	23200	4819
828	23229	4791
829	23254	4762
830	23279	4734
831	23311	4707
832	23336	4678
833	23364	4650
834	23387	4621
835	23413	4593
836	23437	4564
837	23463	4535
838	23489	4507
839	23518	4479
840	23543	4451
841	23568	4422
842	23593	4394
843	23617	4365
844	23643	4336
845	23672	4309
846	23696	4280
847	23722	4252
848	23747	4223
849	23772	4195
850	23800	4167
851	23824	4138
852	23852	4110
853	23877	4082
854	23904	4054
855	23931	4025
856	23958	3997
857	23988	3970
858	24017	3942
859	24042	3913
860	24068	3885
861	24097	3857
862	24122	3829
863	24148	3801
864	24172	3772
865	24198	3744
866	24222	3715
867	24250	3687
868	24278	3659
869	24303	3631
870	24332	3603
871	24358	3575
872	24386	3547
873	24412	3519
874	24437	3491
875	24462	3462
876	24487	3434
877	24512	3406
878	24545	3378
879	24574	3351
880	24600	3322
881	24626	3294
882	24651	3266
883	24681	3238
884	24707	3210
885	24732	3182
886	24759	3154
887	24787	3126
888	24812	3098
889	24840	3070
890	24866	3042
891	24891	3013
892	24917	2985
893	24943	2957
894	24973	2929
895	25002	2902
896	25031	2874
897	25056	2846
898	25088	2818
899	25117	2790
900	25146	2763
901	25174	2735
902	25203	2707
903	25232	2679
904	25261	2651
905	25287	2623
906	25317	2595
907	25345	2568
908	25372	2540
909	25400	2512
910	25431	2484
911	25459	2456
912	25487	2428
913	25515	2400
914	25550	2373
915	25579	2345
916	25608	2317
917	25634	2289
918	25664	2262
919	25691	2234
920	25723	2206
921	25753	2178
922	25780	2150
923	25808	2122
924	25836	2094
925	25866	2067
926	25892	2039
927	25922	2011
928	25950	1983
929	25979	1955
930	26007	1927
931	26034	1899
932	26071	1872
933	26097	1844
934	26128	1816
935	26156	1788
936	26184	1760
937	26212	1732
938	26238	1704
939	26266	1676
940	26299	1648
941	26326	1620
942	26354	1592
943	26381	1565
944	26411	1537
945	26441	1509
946	26470	1481
947	26498	1453
948	26537	1426
949	26582	1399
950	26619	1371
951	26657	1344
952	26691	1316
953	26722	1288
954	26752	1260
955	26780	1232
956	26809	1204
957	26836	1176
958	26864	1148
959	26892	1120
960	26918	1092
961	26946	1064
962	26976	1036
963	27005	1008
964	27030	980
965	27059	952
966	27089	924
967	27117	896
968	27143	868
969	27173	840
970	27201	812
971	27228	784
972	27258	756
973	27286	728
974	27315	700
975	27342	672
976	27369	644
977	27397	616
978	27426	588
979	27457	560
980	27486	532
981	27513	504
982	27544	476
983	27569	448
984	27600	420
985	27757	394
986	27811	366
987	27865	338
988	27891	310
989	27916	281
990	27942	253
991	27970	225
992	27998	197
993	28023	169
994	28048	140
995	28074	112
996	28101	84
997	28130	56
998	28154	28
999	28179	0
